model,pair_id,shared_eligible,event_type,condition,waveform_sha256,ignore_correct,use_correct,ignore_prediction,use_prediction,failure_stage,ignore_valid_selection,use_event_selected,ignore_target_coverage
3b,dev-esc50-0026,True,crow,base,cb7365d1763e189cb90ae07a004b9221a91501b187e6205ead854aa99d8a800e,True,True,A,D,,,,
3b,dev-esc50-0028,True,sheep,base,f5f8bde72c7a96b466bd84cf59c4a14e4c048cf2efd25fe03d08def659475018,True,True,B,A,,,,
3b,dev-esc50-0029,True,pig,base,912a3f118bec229e7c1a939e83b27b29d653bc28b22c31ff00e233aca570231b,True,True,C,B,,,,
3b,dev-esc50-0032,True,car_horn,base,2cf6ce99ea1a679b494226afa5fad3a5bb20f7547e53d52464794639a05c849c,True,False,C,C,,,,
3b,dev-esc50-0033,True,rooster,base,f9569051af8f8cd849cc1de0e1374d3968fd5ab1f29dc577b387ed7db07da60c,True,True,C,B,,,,
3b,dev-esc50-0034,False,rooster,base,12d5ac19b99c9eb131557179fa989c7d28ddaca5bd70ce300ee67cfaaac68a1d,True,True,C,B,,,,
3b,dev-esc50-0037,True,thunderstorm,base,5bd2a2e3813397f8c3993d1af6aef6c1e81ab5a4499a9785cebdb3c518eddc53,True,True,D,C,,,,
3b,dev-esc50-0038,True,door_wood_knock,base,93e26ca77f742fad6294dcf00ad3b049114eae12f0fffa1dd5cc9957b332f85b,True,True,D,B,,,,
3b,dev-esc50-0039,True,footsteps,base,571b963f6a867bda4a67006d26ed6aa1af60a249a03269fa10a7752a83336f25,True,True,B,A,,,,
3b,dev-esc50-0041,True,airplane,base,537d258344f2292ea2b48a068e7afc2bf249e205db28f9ebdf3ff4b98b906627,True,True,A,B,,,,
3b,dev-esc50-0043,False,cow,base,6c93921ba62414474d504e38d10eea06966964608d7d36b2c1073cae6e44a031,True,True,D,D,,,,
3b,dev-esc50-0045,True,door_wood_knock,base,605dc4029fba2085b36423ab1a3f2e2c8d872d8de0133cfa645da03e21168e62,True,True,A,B,,,,
3b,dev-esc50-0049,True,cow,base,aa11a756c23accd87cb1a531c23e04a59f27c2fd669f6557c0a0a0f872bd498a,True,True,D,B,,,,
3b,dev-esc50-0055,True,airplane,base,111d4475970d0a01c7d8c7ad53a4c1d68de07980322f596878fb0e394dd683a2,True,True,B,D,,,,
3b,dev-esc50-0062,True,thunderstorm,base,a21aa2c9f7131976037c511a02f8420dafd32ccd07cccf9125349c68b4a4d0ee,True,True,D,B,,,,
3b,dev-esc50-0064,False,crying_baby,base,6813857c0bcf916b950633416a2b1f7b14f86569658f5ea78313ee6bb5dc4b00,False,True,A,A,,,,
3b,dev-esc50-0067,True,glass_breaking,base,d8308f14525556839e1a641c6ad33f0394ebf1a7081e43ef2018e2520158bba3,True,True,D,C,,,,
3b,dev-esc50-0068,True,thunderstorm,base,1aa3bd4197e6feb5f37350b8903ad6c137b44bdbfef036b58d97de11ac560f11,True,True,A,C,,,,
3b,dev-esc50-0073,True,footsteps,base,67fca08ed38ee7c16c869a92812d95bb2201cdd716ff2aaf2208499a56af0f1f,True,True,C,B,,,,
3b,dev-esc50-0077,True,thunderstorm,base,207562b965e51145aa11cb3c14edb4d7703bc5c6878287b52f0c443e928c92de,True,True,B,D,,,,
3b,dev-esc50-0079,True,car_horn,base,c19fc60bf65f96367d299bd7cd5ba00e2cdc96d1555489f0324385ba3d0e5976,True,True,B,B,,,,
3b,dev-esc50-0080,True,frog,base,d4cf32b5cebe89bb46922d1e6e6af49979594cedd0f69b29bb04d8123de0b474,True,True,B,A,,,,
3b,dev-esc50-0081,True,cow,base,d02900eff2669f44e8f816d1cf14cfbc4c3beb885b019f0b91bd3e0bb10cab2d,True,True,D,C,,,,
3b,dev-esc50-0087,False,airplane,base,54e6a55a0617aae80aa14915417d89768a6e11ba84fcf2f0ca4e25015ced903d,True,True,B,D,,,,
3b,dev-esc50-0088,True,glass_breaking,base,939c41a64f103ccdad5ab43313ee4ea90453a8caba293fb365fe8890814761c8,True,True,D,D,,,,
3b,dev-esc50-0090,True,glass_breaking,base,5c04f188728b2269e506671a0c773eb76ca6ceed09584d12769adca3cb4e94b7,False,True,C,C,,,,
3b,dev-esc50-0091,True,frog,base,e090ff48d87902a44ac7ee7df6e4bf1055f221722de47de0a72c6a2825b146b0,True,True,D,A,,,,
3b,dev-esc50-0094,True,rooster,base,0f3f0fc1a109e93b14511bb764cda71483945dd4cc7ec209a3c2c542def337f0,True,True,B,D,,,,
3b,dev-esc50-0096,False,cat,base,b71f2cc6100076cf5bfeb014c03deba6a4d7e7ff3603ef110b8962b77a1cbe06,True,False,B,D,,,,
3b,dev-esc50-0098,False,siren,base,37b92d37d0d844d149495cfd7b63489c47ef3c8649f61f83dfd52c5e9dffaf16,True,True,C,C,,,,
3b,dev-esc50-0101,True,car_horn,base,df47112e7d15dbdcf701f5227dda5b929920adef775a4ea8ffddbb3343d3ce16,True,True,A,D,,,,
3b,dev-esc50-0102,True,crow,base,cc82282bd2f815ef692fc986c45faedb326a9ca91b76f8bb7957a5bc7587a2e7,True,True,C,B,,,,
3b,dev-esc50-0105,True,glass_breaking,base,92df249ffe9c16c94af83411c189ec516c07b2ea13f4e83b0c1a3bb883284234,False,True,A,B,,,,
3b,dev-esc50-0107,False,rain,base,391a735e7a50d9561ee5273924e58ff6d78490ece1b2b7a0d1b2438c5da210d0,True,True,B,C,,,,
3b,dev-esc50-0108,True,airplane,base,ad603690bc731a36b1a025112b0ffcaf7a299c0c349f9ed9f0b4cf65cb95b1aa,True,True,B,D,,,,
3b,dev-esc50-0110,True,rooster,base,14ec88503fbf632836ee6b7bdfcf871f69c6c842ac5c0abb7f0f3f4d2bc4aec8,True,True,C,A,,,,
3b,dev-esc50-0111,True,cow,base,7df8d415cf747c4560ae4801ee0ede8d8aa0ad8d5985a72e255afcf6f08d427f,True,True,D,D,,,,
3b,dev-esc50-0112,False,cow,base,5574cddeaca46272bebdd69b0b774e11806aa57067846072aecd0346a70ea3cd,True,True,B,C,,,,
3b,dev-esc50-0113,True,car_horn,base,b8725859b236e77c5a23a45ed084ba5f6eeadd4f482a37f9c4945be0f5b172e0,False,True,A,A,,,,
3b,dev-esc50-0114,True,crying_baby,base,0531fc37e4af8ccec011aa4f9ccb7a171d00f5ea8589ce75e66b549fdbdd3956,True,True,D,A,,,,
3b,dev-esc50-0115,True,rooster,base,96411d23691206bf4aaa1a72c22cb5b3152e9401ac38728b964e689bde859c1d,True,True,A,C,,,,
3b,dev-esc50-0116,True,frog,base,609e24769feb5c52d015a61bb0d937be5b806e3e230ccafa7c4a4d7b6b83736c,True,True,B,B,,,,
3b,dev-esc50-0118,True,train,base,4e50b13290fa3810306fdb409b6079cb54b01603a6c3320688675b6631b5d8b5,True,True,B,A,,,,
3b,dev-esc50-0122,True,sheep,base,4532af21db7570aa319a20efdb667676035350f3c8150f7f4c30604d2b078ac3,True,True,D,D,,,,
3b,dev-esc50-0123,True,footsteps,base,322223e7b1f6c75ab2066f43d35677da9586a3aded50cb18c1b22e7be0a34aa8,True,True,A,A,,,,
3b,dev-esc50-0125,True,crow,base,b143c6a95fa38d711e378442be8e081b32e4b388f9de64763f93a9d40311ae03,True,True,D,A,,,,
3b,dev-esc50-0126,True,clock_alarm,base,6b9ac0400f2ad4fb1809ad44b2f2c9f2ee293d552b2dec2e4871abbd34e8192b,True,True,D,B,,,,
3b,dev-esc50-0127,True,footsteps,base,90f2e075bfaf901c2dee5e4efb8051d2adafc09962ee456066a96e98f9a54583,True,True,B,B,,,,
3b,dev-esc50-0128,True,rain,base,f9dfae017f4c6bcec6bdb4271ee79e32e8051eba471667b9d7bacc1e0a579e0a,True,True,A,D,,,,
3b,dev-esc50-0129,True,footsteps,base,62a4c4cab7f70d189145afacee782d2547434e7cb4a3545cf00ecc0f8bd5afa6,False,True,A,D,,,,
3b,dev-esc50-0130,True,door_wood_knock,base,6f06df8948f0d128617804a1727178de158a0a813606ca5f38c2c753b139d44a,True,True,C,B,,,,
3b,dev-esc50-0131,True,fireworks,base,a2d11b8859a6a475ac4401edb49d80f3c6097dc957211f1c15a8179aef519599,True,True,D,D,,,,
3b,dev-esc50-0134,True,airplane,base,4b6658a3ee0d717109ec83872dc5d7ac638cd9d90cc75032d3563165b32a7357,True,True,B,C,,,,
3b,dev-esc50-0136,True,frog,base,e42d38380617f174766c7a688858ec22bb8768bdfe996e36e309c7053daa601d,True,True,B,D,,,,
3b,dev-esc50-0137,True,pig,base,3c9d65fe65d47b669671098796466786fa42c308bdf06e1347023a925195f616,True,True,D,B,,,,
3b,dev-esc50-0139,True,cat,base,2497dd2032d4d0841ed4478b308687797dc2c6251630eaa02712dc660559792c,True,True,A,B,,,,
3b,dev-esc50-0141,False,footsteps,base,082b6b3feb9bd698dab7d0f8b4af957a5fd9e8ea498b06e6f3d68d31618f0037,True,True,C,D,,,,
3b,dev-esc50-0144,True,train,base,1470dff153d11555f130257569e024fa0436b3bcb3c522c43059a928508f570a,True,True,A,D,,,,
3b,dev-esc50-0145,True,dog,base,93e71f9679a4f6d4d29059b9876358eff8cb0307a07e4cd885d783edad523b47,True,True,C,C,,,,
3b,dev-esc50-0146,True,cat,base,c38e308a611ffa4e33095b67b995b73c635e996a7890770a96f7a622f16ab2bb,True,True,A,D,,,,
3b,dev-esc50-0147,True,dog,base,638eb2509169de36c0766b551781139a496e5a74bf56e541808380b857dd5a6a,True,True,A,C,,,,
3b,dev-esc50-0149,True,sheep,base,e217b42e11bacfe0074dcff0ebda5ffcfa32f494d4ebb0d12659713abba757c0,True,True,A,C,,,,
3b,dev-esc50-0154,True,cat,base,ed9ee0cafa5f0839a914fba3edf5b8b0aae37aa10b9b080bd269b3088091d738,True,True,B,A,,,,
3b,dev-esc50-0156,True,dog,base,cdd921834eea6f9d8fcab695b125d3ce5d9b04a00b00ebb96263361987e8ab66,True,True,B,A,,,,
3b,dev-esc50-0157,True,siren,base,31bdead7bd55b06643714eb6c42d95b11c7c7bfb25c473a47df215456ad9f112,True,True,B,A,,,,
3b,dev-esc50-0158,True,frog,base,c314a542ad07dbfba191837a87ef6d340402ffd3fb96a9ce1812b62ac5abccf8,False,True,D,B,,,,
3b,dev-esc50-0160,True,car_horn,base,e4ad3868549e9640b29a8ea01411b71b566f5f7546a0575a3bb1c8765f5a9a58,True,True,A,C,,,,
3b,dev-esc50-0161,False,cow,base,7beb9c4e4333bba879f229e0cedb48a955115145c49a08aa34b766b3d4e3be87,True,True,B,D,,,,
3b,dev-esc50-0164,True,siren,base,32cd7450628d21099f34ff4b5a5785ef1ebed2fc199ceab27378b938ff0f8f3c,True,True,C,B,,,,
3b,dev-esc50-0165,False,cat,base,59b68770d5b232991e85f98543b179eed602df73b9e86b0fe495722113d3d4e6,True,True,A,A,,,,
3b,dev-esc50-0166,True,frog,base,1f4203186ad16e6668233f0472db43681728a64513921d7a9061e60066d417f6,True,True,D,C,,,,
3b,dev-esc50-0173,True,siren,base,e151399d3d17bc96e144ac32fbea8a54d5d4d8f219d57bf2b8bde3933b54f1dc,True,True,D,B,,,,
3b,dev-esc50-0174,True,train,base,aa60151700f9de57c85d67e10b0ee585fb5087f9c1e0d0672a511d0fae372fa5,True,True,D,B,,,,
3b,dev-esc50-0175,True,pig,base,d9156672422b7be9099769774287369559c86bbda10a833b0d1eb8e4ae508181,True,True,D,B,,,,
3b,dev-esc50-0176,True,thunderstorm,base,1f25d7158a74edf7aac6e212e7169f6fc36ef1d5b9611fee51c7ea1349f503cd,True,True,A,A,,,,
3b,dev-esc50-0177,True,thunderstorm,base,4aacb888b5adafc4730a30001bcb45275b0a63569f75e598015fb89f69e8c9fa,True,True,B,A,,,,
3b,dev-esc50-0180,True,frog,base,7361d5500fc98de1d2bb9308da2504e4f33c87d37b77b6f381e1a98c6ce0e4a8,True,True,B,A,,,,
3b,dev-esc50-0181,False,sheep,base,3fdef47f4a2846c88c37630c00b9f8798c71c4be6aa983033abdb59d8b5dba74,True,True,C,D,,,,
3b,dev-esc50-0183,True,footsteps,base,12b7dba9ced63956831d80920b305c39de172d92982fb29b1bf42e006241f2e1,True,True,B,A,,,,
3b,dev-esc50-0186,True,car_horn,base,4260a0fe48940328190416d63b654f4e1c3a5ac8bd42a894e65b403270ab6302,True,True,C,B,,,,
3b,dev-esc50-0188,True,clock_alarm,base,b517cc28f5690df343532acda0c87cfe568788305cb63472c0a35b22c82d3225,True,True,D,B,,,,
3b,dev-esc50-0189,True,cow,base,57e666155ffc193e4087b7e08dcb61e5f2198e8d9b80393a8789a545b712acef,True,True,B,D,,,,
3b,dev-esc50-0191,True,dog,base,21ca8b4a1e86a34b618e7cfe9a15a4475509a73452aea630171b5baadde9daf6,True,True,A,A,,,,
3b,dev-esc50-0192,True,clock_alarm,base,59d2bb59f2e51aec66c7b378afa7d829665aa119c769180d05b477543f9b432b,True,True,A,A,,,,
3b,dev-esc50-0196,False,airplane,base,7f2d91f842683c0659e89418d39fe4ec941967b809c9bae5148974224a39effa,True,True,D,B,,,,
3b,dev-esc50-0198,False,cat,base,43d4168bd6dfb13d9a38ac7f6b64f6c977bba97b13652e7d62188ae69c2dc721,True,True,A,A,,,,
3b,dev-esc50-0200,True,thunderstorm,base,7043fe5f708a436e3566596d675a169e576fa0774c1a88c33e00f4cc18d5fdd1,True,True,B,A,,,,
3b,dev-esc50-0201,False,glass_breaking,base,0d8dd074a797f988ed3b8c40b37214f773c5a927ad8f9a161946e36182dc85f0,True,True,C,C,,,,
3b,dev-esc50-0202,False,door_wood_knock,base,60c98f9218132088cb536b9983527794793c521e6c624f7459fe13fd42fe4a05,False,True,B,D,,,,
3b,dev-esc50-0204,False,siren,base,fb2a1b1b201579ccc88b71199e3d022f7800b1a63cd60c64e88796df6f19942f,True,True,A,C,,,,
3b,dev-esc50-0206,False,rain,base,673730f056a60e39761f265565e5321d32d7d4eba6f8ba80df3035340fbc9d9a,True,True,C,A,,,,
3b,dev-esc50-0207,True,thunderstorm,base,a4f1807e6cb82457569a7a99566ccf580111b2df8559a6f2d8cf027f517c147c,True,True,C,A,,,,
3b,dev-esc50-0208,False,rain,base,fb2dee564985e99593dc9ff5b0bcec0647692b338489c243fde7f07a5fb243ae,True,True,A,A,,,,
3b,dev-esc50-0212,True,dog,base,be92ea8291bcae6d11eab75a75db8ee9ff6fbea9354b62760cfb9af1c962c292,True,True,D,A,,,,
3b,dev-esc50-0213,True,glass_breaking,base,1d160edf6bd29550dacb4d90b5d39dde687a8951a0de2924946ae6bb2ee44d17,True,True,C,B,,,,
3b,dev-esc50-0219,True,sheep,base,24f49bfccec6c22a8dcf76a29e4712beef9a3c9bca2d5c4dc1ff752b67a48ec6,True,True,D,C,,,,
3b,dev-esc50-0221,True,sheep,base,931e47058308c2710c69acbbb32a4d87d9581ec2c724acdbe3a6acbae7ae9cf4,True,True,A,C,,,,
3b,dev-esc50-0222,True,airplane,base,097e10ce3bdd3b7d5c3fbcfde9668c9b2ad07aea1e29078cce82eb2d443d9dc6,True,True,A,B,,,,
3b,dev-esc50-0229,False,cow,base,60ec6de839dd507a888be98afee05a9fcd94d4ce91e5d4660a77126e2b791b19,True,True,C,B,,,,
3b,dev-esc50-0230,True,cat,base,7d8978baac9329ec065c638b00ab9bf97aef70e8dc75d23917a0e0de943c2c89,True,True,D,B,,,,
3b,dev-esc50-0233,True,door_wood_knock,base,e56d608b73ca66733e94def000204743b0545c2a15b9de4c4154a8b89ce44839,True,True,A,D,,,,
3b,dev-esc50-0234,True,siren,base,732ba6d31f82cda56323f48504e7af1682b89c96c147f8761c067fa9c449f446,True,True,A,A,,,,
3b,dev-esc50-0235,False,sheep,base,3c0be83a9b81dc0a2753a23d8ddf6aca276a4d20dafcba2d9794f4392ffcc16a,True,True,D,C,,,,
3b,dev-esc50-0237,False,airplane,base,8f303d72cc6624b5e57d2c08413b56d1805af15a4c08ec6eec6f3b854902054d,True,True,A,C,,,,
3b,dev-esc50-0238,True,car_horn,base,08d962114059e0ddcbdf7e31e7382c663532c21dcf0394ba29ebcbdf7a0cab56,True,True,A,C,,,,
3b,dev-esc50-0239,False,car_horn,base,4ceb2032aa2df5da280434dfde7b2a9cc15c82dd9ad23b616259debd575fd8eb,True,False,A,C,,,,
3b,dev-esc50-0241,True,clock_alarm,base,5799ac9ab9e1967aecf0e17bd2de16bf116e37afadfb40a323a398d292f45bbd,True,True,C,A,,,,
3b,dev-esc50-0243,True,crying_baby,base,26deef24311e8213bef31107697acaa9b4bba681f947dbc6a2723437b705aa94,True,True,D,A,,,,
3b,dev-esc50-0249,True,cow,base,363369a9b8f760bbbc84baf5fe44432cb898ad9d0096bfe171e3e3299c732ebb,True,True,D,A,,,,
3b,dev-esc50-0252,True,crow,base,931bd5661895929ba71ca491c06465eb60a6e55a3c7290689ed00764d3617834,True,True,C,A,,,,
3b,dev-esc50-0254,True,clock_alarm,base,8cc54a093d209c1bb935ef80473c7c4c8e1e3c7dc8dd1c4eeb406620f8031bbe,True,True,A,A,,,,
3b,dev-esc50-0255,True,footsteps,base,a85a2fa006c213ea8f481f8c2525cbb2f01d4126158ead6ce0e8564f570e0df7,True,True,A,D,,,,
3b,dev-esc50-0258,True,crying_baby,base,deef8ac5a222eae072836c522287f3b5e83cb0630c65626cff8f69deb60fe034,False,True,A,A,,,,
3b,dev-esc50-0260,False,cow,base,55e2b40e075a5c600068898d980af6266c8bb1c0848fcee6aa58324f0af1469e,True,False,C,C,,,,
3b,dev-esc50-0261,True,door_wood_knock,base,e97385031e64abef3fef4b624cc7722f9b271dcea6e513b72decb0b9fa8c881c,True,True,C,A,,,,
3b,dev-esc50-0264,True,siren,base,f01a4b14f39c47575b9b41c41f0da9fc2bc12961a09bd79d60456283587745db,True,True,B,A,,,,
3b,dev-esc50-0266,True,door_wood_knock,base,f8071619406948838777048e2e52d43e337a0c5fc4cafa51589edfbefd85fe58,True,True,B,B,,,,
3b,dev-esc50-0267,False,train,base,c078f02f379909df8d0475c681ee0c68c2f1c7b60e7b97e3c86dd22eb80a35a5,True,True,A,B,,,,
3b,dev-esc50-0269,True,cow,base,622e0db6d32afde0d899be500fc0f4c8518abe942bfadaf4bbfbd4b5803a6a47,True,True,C,B,,,,
3b,dev-esc50-0270,True,footsteps,base,33d999107d7cbdc27f99f3a3ce8231a39daebe414c2fe16e93a1d987a340f3d3,True,True,B,C,,,,
3b,dev-esc50-0271,False,door_wood_knock,base,3fc807ebdcb349988b63500c74db03cca728207de5278cdd44ff5b04eecf8853,True,True,A,B,,,,
3b,dev-esc50-0272,False,pig,base,561b9ff6eacbdd1bb942b263eb20c6c6658c2a037a89cd45b5f39b1f122d4fa5,True,True,A,C,,,,
3b,dev-esc50-0275,True,cat,base,39d2f894b55d8b5d8aef7dbdd6c8f05af73dbae82f93d9a05f206a41fd28de40,True,True,A,C,,,,
3b,dev-esc50-0276,True,door_wood_knock,base,1b38046a525a8bb284d1035a705766ae3114794365fa8dc338e75d1fd33b3466,True,True,B,C,,,,
3b,dev-esc50-0277,False,cat,base,78a2c940c954e16968b4a5c163c85221664687415df4ff674affd7e1a54a24ac,False,True,B,D,,,,
3b,dev-esc50-0280,True,airplane,base,64fef354784950ea7952757224bb3d276989ffa7c962d88cf4d03b1a62bf48a8,True,True,A,A,,,,
3b,dev-esc50-0281,True,train,base,398538eecc9fb12725e2de8fb7ce6258b3da1a3a4347a5e5d57e7ce3d8f6104b,True,True,A,B,,,,
3b,dev-esc50-0282,True,crow,base,603ddf0ed9cd14143e1cb23aa41516387040daf29622f19969c9717fdc28f076,True,True,C,A,,,,
3b,dev-esc50-0284,True,cat,base,85ec8aa5c0bb599c05b9678a43559baf1673de6795a052040232b8faa725eff6,True,True,A,B,,,,
3b,dev-esc50-0285,False,fireworks,base,6eaee071e37641e0b771f4e01d67c8114a4e8c1d57631cf50815e1d2b9950365,True,True,C,B,,,,
3b,dev-esc50-0287,True,cat,base,467baaadb314ae01779355f8fd47d7d46f8097f04430afdd4282dc857d84178d,True,True,B,D,,,,
3b,dev-esc50-0297,True,rain,base,e29023abb7798f0e0a9c86b37de39ca0383039873e736da4e9d733b83da1efea,True,True,D,C,,,,
3b,dev-esc50-0298,False,train,base,134d20b4a0bc6898b1b8a08e3b816ffd547538bb0ff61644c15d47d8c0fc92f1,True,True,A,B,,,,
3b,dev-esc50-0300,True,airplane,base,fb0232a485f1d7fdd830a954848618080907e8d869df195173452511d3991aef,True,True,A,C,,,,
3b,dev-esc50-0301,False,pig,base,50fd03087c5c159fde76ce9b6f12bb98880a35df68d75a83c0fe695ed9115297,True,True,D,A,,,,
3b,dev-esc50-0303,True,cow,base,a57a8a62860a08ab82823228ca624a01b7873a38fcb6a8d3de68f87f4c26d70c,True,True,A,A,,,,
3b,dev-esc50-0304,True,crow,base,62a64e3b5ca9417dd915a72219e2f159d1d12246f2d00b8b3a504a9660706b11,True,True,D,D,,,,
3b,dev-esc50-0306,True,glass_breaking,base,bdaf8b574abaff3ee30f244b6d17db0a02fd7b6ae2535f1e969bd4a32e3d62ab,True,True,B,D,,,,
3b,dev-esc50-0308,False,frog,base,cd8c3f0c6b17f28d3b37d9a3a3e231005069a1545188fceb46b1c7d7183adcde,True,True,A,C,,,,
3b,dev-esc50-0315,True,sheep,base,f691e810e549504a7113ceb5376eed932cb2fb2dc4f025742023cc4f1e2cc3a4,True,True,D,A,,,,
3b,dev-esc50-0316,True,crow,base,b4c71324835f196ca78a65ef4b7986b68f8a209ab4fba6f3792ba01413f6500f,True,True,D,A,,,,
3b,dev-esc50-0323,False,train,base,33b5b526d10692c7b8ecabdedeff8145ab51839cd6d2b3414ef15665bf1fa86b,True,True,A,A,,,,
3b,dev-esc50-0324,False,crying_baby,base,deabc87cb7ad3e322d46f1433f44dfe67b644e43d99e4345d6ae32297fc187ab,False,True,A,A,,,,
3b,dev-esc50-0325,True,pig,base,bcc45b97a77d93805c5825569ca6e17f02b084f6146d0b1251e4e43b4670b8c7,True,True,C,A,,,,
3b,dev-esc50-0327,True,crow,base,f879b875448f290fe2954d5fd087c7b80666e53f60d525156889b12af88274f5,True,True,D,C,,,,
3b,dev-esc50-0329,False,pig,base,ff8ab964e237f0b3bd1923f788dfaeaeea7406ca8bdbfc72665c38c52e7c921a,False,True,A,A,,,,
3b,dev-esc50-0330,True,clock_alarm,base,91cf8eb3e99f7aebeb9c073417e880a37fe74ad687db5f6a53181dbf1d8fc5a3,True,True,D,A,,,,
3b,dev-esc50-0332,True,crying_baby,base,ddec0eb42a18930e8b195f172effb2250cda48c552992ba34018913e98a9466e,True,True,B,C,,,,
3b,dev-esc50-0334,True,cat,base,052c9b74aba3e49e10603b0649372955c7035cce7727b825c196bc8a555d15a7,True,True,D,B,,,,
3b,dev-esc50-0336,True,dog,base,83c00ecaf2ca38838549ae96f04b40d5da0a13f9e3fffcb2bab3bd41eb5611de,True,True,D,A,,,,
3b,dev-esc50-0337,True,rooster,base,071a5f3a1268372dfba290b2ac2d1552e8bb604652c251dffd0a80a9c650407d,True,True,B,A,,,,
3b,dev-esc50-0341,True,train,base,78d4c1f25068f3e1bb067dd3c64253057fb97834909fbcf80bda450ac6ed777e,True,False,B,C,,,,
3b,dev-esc50-0342,False,frog,base,4ea91e42e5412847ed59f8f76eebd8e66c2724e3d944b64c71da2d32e4bf76f7,True,True,A,D,,,,
3b,dev-esc50-0343,True,sheep,base,82ee656716f49c3b88c5622545cb5397f8c5c415809698d787991e3806ceecd4,True,True,D,C,,,,
3b,dev-esc50-0344,True,cat,base,84c7337eefd1c9cab84b43211a370e380ba4706472d3a3935b779b948f22155b,True,True,D,C,,,,
3b,dev-esc50-0345,True,glass_breaking,base,c90d8bfaeb2f4ae0d11266657e3530c296cdee33d6b10417d24fc2dfaef6a42b,True,True,A,B,,,,
3b,dev-esc50-0346,True,airplane,base,76c0196cfdbb1ab337507e7a3e2e8c78c6014b6c4aac4dad7128983dafcb5a71,True,True,A,A,,,,
3b,dev-esc50-0349,False,airplane,base,82b24799cc72012b59eaa02deb0beb87045337581a08e5b013155573ed5349c0,False,True,D,C,,,,
3b,dev-esc50-0353,True,thunderstorm,base,b6d3d9b922a7249f9e971b571eaa34b3b594d4823cd79c923f7059f9c7436fab,False,True,A,B,,,,
3b,dev-esc50-0354,True,siren,base,63435c2b26a1f97813414a9784362f6d21c2e702cd69a7b5fae9ff1a25523c5f,True,True,C,B,,,,
3b,dev-esc50-0355,True,rooster,base,c7361f264ba693f5a8fa80ba7bedacb9ed7b3277efdffd59ec46688b1cca15c5,True,True,A,B,,,,
3b,dev-esc50-0362,False,fireworks,base,24b390673d959cb12bdbea58137f779e0f34f8a58d64033f7276fd66d5322faa,True,True,A,A,,,,
3b,dev-esc50-0365,False,sheep,base,92971f306297ce907996cdd85167629d6abc2a9becfa480b798dfd00d8280eb4,True,True,D,C,,,,
3b,dev-esc50-0367,True,rooster,base,05859cd01984026513c4675da5045935f7006e1cf11348dfaa6447f3a3cc8598,True,True,D,D,,,,
3b,dev-esc50-0368,True,airplane,base,ed58630afbe17a477a1265e88db56a716c783377e735a44be66f4feec5beddec,True,True,D,D,,,,
3b,dev-esc50-0369,True,rooster,base,39730431f05af8f90b95c03a3cefec329e18ca3861709c8186e21a84c40e80ae,True,True,A,C,,,,
